Gene	Chromosome	Strand	Exon_start	Exon_end
PLP1	chrX	+	103031439	103031575
PLP1	chrX	+	103031781	103031927
PLP1	chrX	+	103041394	103041550
PLP1	chrX	+	103031754	103031927
PLP1	chrX	+	103041394	103041655
ALDH7A1	chr5	-	125889979	125890085
ALDH7A1	chr5	-	125891623	125891707
ALDH7A1	chr5	-	125889979	125890085
ALDH7A1	chr5	-	125891623	125891707
NIPBL	chr5	+	37063892	37065921
NIPBL	chr5	+	37064629	37065921
NIPBL	chr5	+	37063892	37064080
SCN1A	chr2	-	166900212	166900559
SCN1A	chr2	-	167005557	167005642
SCN1A	chr2	-	166900179	166900559
SCN1A	chr2	-	166900263	166900559
SCN1A	chr2	-	166929868	166930149
SCN1A	chr2	-	166934220	166934311
SCN1A	chr2	-	166929868	166930180
SCN1A	chr2	-	166900212	166900559
SCN1A	chr2	-	167005557	167005642
SCN1A	chr2	-	166900179	166900559
SCN1A	chr2	-	166900263	166900559
SCN1A	chr2	-	166929868	166930149
SCN1A	chr2	-	166934220	166934311
SCN1A	chr2	-	166929868	166930180
PLA2G6	chr22	-	38577791	38577836
PLA2G6	chr22	-	38524276	38524437
PLA2G6	chr22	-	38577671	38577761
DYSF	chr2	+	71680753	71681216
DYSF	chr2	+	71776480	71776521
DYSF	chr2	+	71693832	71694063
DYSF	chr2	+	71847677	71847739
DYSF	chr2	+	71740370	71740462
SIGMAR1	chr9	-	34637604	34637823
SIGMAR1	chr9	-	34637217	34637417
SIGMAR1	chr9	-	34634719	34635637
SIGMAR1	chr9	-	34637264	34637417
SIGMAR1	chr9	-	34637544	34637768
SIGMAR1	chr9	-	34634719	34635855
SIGMAR1	chr9	-	34637544	34637823
SIGMAR1	chr9	-	34636994	34637109
SIGMAR1	chr9	-	34634720	34635855
SIGMAR1	chr9	-	34636994	34637086
ALS2	chr2	-	202582800	202582933
ALS2	chr2	-	202569177	202569326
ALS2	chr2	-	202588053	202588164
ALS2	chr2	-	202591207	202591272
ALS2	chr2	-	202574604	202574761
ALS2	chr2	-	202589018	202589182
ALS2	chr2	-	202590079	202590177
ALS2	chr2	-	202569862	202569923
ALS2	chr2	-	202592428	202592498
ALS2	chr2	-	202614435	202614512
ALS2	chr2	-	202624180	202626541
ALS2	chr2	-	202575714	202575831
ALS2	chr2	-	202568845	202568941
ALS2	chr2	-	202580395	202580562
ALS2	chr2	-	202591387	202591589
ALS2	chr2	-	202597999	202598161
ALS2	chr2	-	202593775	202593906
ALS2	chr2	-	202617869	202617965
ALS2	chr2	-	202587766	202587843
ALS2	chr2	-	202603393	202603458
ALS2	chr2	-	202625604	202626541
ALS2	chr2	-	202611289	202611471
ALS2	chr2	-	202593235	202593363
ALS2	chr2	-	202606397	202606577
ALS2	chr2	-	202622125	202622482
ALS2	chr2	-	202564986	202566612
ALS2	chr2	-	202608981	202609152
ALS2	chr2	-	202619226	202619394
ALS2	chr2	-	202570139	202570184
ALS2	chr2	-	202571569	202571745
ALS2	chr2	-	202591935	202592001
ALS2	chr2	-	202572592	202572714
CAPN3	chr15	+	42678365	42678483
CAPN3	chr15	+	42698124	42698141
CAPN3	chr15	+	42691690	42691850
CAPN3	chr15	+	42695939	42695975
CAPN3	chr15	+	42679951	42680084
CAPN3	chr15	+	42686454	42686539
CAPN3	chr15	+	42676681	42676750
CAPN3	chr15	+	42684837	42684920
CAPN3	chr15	+	42700409	42700522
CAPN3	chr15	+	42694322	42694333
CAPN3	chr15	+	42694588	42694756
CAPN3	chr15	+	42682151	42682294
CAPN3	chr15	+	42688998	42689075
CAPN3	chr15	+	42681126	42681294
CAPN3	chr15	+	42693839	42694008
CAPN3	chr15	+	42694992	42695200
CAPN3	chr15	+	42696977	42697153
CAPN3	chr15	+	42651698	42652312
FKTN	chr9	+	108402382	108403399
FKTN	chr9	+	108397332	108403399
FKTN	chr9	+	108335936	108336027
FKTN	chr9	+	108397332	108397429
SIGMAR1	chr9	-	34637604	34637823
SIGMAR1	chr9	-	34637217	34637417
SIGMAR1	chr9	-	34634719	34635637
SIGMAR1	chr9	-	34637264	34637417
SIGMAR1	chr9	-	34637544	34637768
SIGMAR1	chr9	-	34634719	34635855
SIGMAR1	chr9	-	34637544	34637823
SIGMAR1	chr9	-	34636994	34637109
SIGMAR1	chr9	-	34634720	34635855
SIGMAR1	chr9	-	34636994	34637086
LAMA2	chr6	+	129796535	129796546
WFS1	chr4	+	6279182	6279414
WFS1	chr4	+	6279178	6279414
LAMA2	chr6	+	129796535	129796546
LAMA2	chr6	+	129796535	129796546
APTX	chr9	-	32988081	32988127
APTX	chr9	-	32972604	32973686
APTX	chr9	-	32997241	32997346
APTX	chr9	-	32972604	32973650
APTX	chr9	-	33001331	33001574
APTX	chr9	-	32987542	32987729
APTX	chr9	-	32987758	32987844
APTX	chr9	-	33001514	33001610
APTX	chr9	-	33001565	33001639
APTX	chr9	-	32987542	32987844
DYSF	chr2	+	71680753	71681216
DYSF	chr2	+	71776480	71776521
DYSF	chr2	+	71693832	71694063
DYSF	chr2	+	71847677	71847739
DYSF	chr2	+	71740370	71740462
SGCE	chr7	-	94229009	94229035
SGCE	chr7	-	94217090	94217124
SGCE	chr7	-	94227242	94227316
RYR1	chr19	+	39014555	39014569
RYR1	chr19	+	39014555	39014569
PEX1	chr7	-	92148309	92148392
PEX1	chr7	-	92148274	92148392
PEX1	chr7	-	92134046	92134216
BRCA1	chr17	-	41201138	41201211
BRCA1	chr17	-	41277294	41277468
BRCA1	chr17	-	41246761	41246877
BRCA1	chr17	-	41277288	41277500
BRCA1	chr17	-	41243452	41246877
BRCA1	chr17	-	41228505	41228628
BRCA1	chr17	-	41267743	41267796
BRCA1	chr17	-	41228505	41228631
BRCA1	chr17	-	41231351	41231416
PDHA1	chrX	+	19369399	19369525
PDHA1	chrX	+	19364628	19364741
PDHA1	chrX	+	19369378	19369525
PDHA1	chrX	+	19372609	19372701
ATP7B	chr13	-	52534284	52534458
ATP7B	chr13	-	52532447	52532680
ATP7B	chr13	-	52535973	52536049
ATP7B	chr13	-	52548554	52549304
