#Strand_gene_id	ChrName	Strand	Gene_start	Gene_end	Symbol	Entrez_id
USP42-7-1	chr7	+	6144550	6201195	USP42	84132
YTHDF3-8-1	chr8	+	64081112	64125346	YTHDF3	253943
WDR73-15-1	chr15	-	85185607	85197521	WDR73	84942
C3ORF72-3-1	chr3	+	138666076	138672830	FOXL2NB	401089
ACTL7B-9-1	chr9	-	111616868	111618275	ACTL7B	10880
CENPE-4-1	chr4	-	104026963	104119566	CENPE	1062
PGBD4-15-1	chr15	+	34394274	34396591	PGBD4	161779
MUM1-19-1	chr19	+	1354976	1378430	MUM1	84939
MRPS27-5-1	chr5	-	71515236	71616084	MRPS27	23107
PREPL-2-1	chr2	-	44544746	44589001	PREPL	9581
SNORD36A-9-1	chr9	+	136217311	136217382	SNORD36A	26815
GPCPD1-20-1	chr20	-	5525080	5591672	GPCPD1	56261
PHF13-1-1	chr1	+	6673756	6684093	PHF13	148479
EXOC3L4-14-1	chr14	+	103561044	103576896	EXOC3L4	91828
AAAS-12-1	chr12	-	53701240	53715412	AAAS	8086
RNF166-16-1	chr16	-	88762903	88772829	RNF166	115992
LOC158960-23-1	chrX	-	153652723	153656825	CH17-340M24.3	158960
CDK7-5-1	chr5	+	68530622	68573257	CDK7	1022
KIAA1407-3-1	chr3	-	113682984	113775460	CCDC191	57577
ZNF639-3-1	chr3	+	179041551	179053325	ZNF639	51193
CRIM1-2-1	chr2	+	36583370	36778278	CRIM1	51232
SNAR-C2-19-1	chr19	+	48432075	48432194	SNAR-C2	100170218
CCL17-16-1	chr16	+	57438679	57449974	CCL17	6361
MIR1203-17-1	chr17	-	46233789	46233873	MIR1203	100302211
MAP3K5-6-1	chr6	-	136878184	137113656	MAP3K5	4217
C9ORF9-9-1	chr9	+	135754282	135765419	SPACA9	11092
PDE4C-19-1	chr19	-	18318771	18359010	PDE4C	5143
C1ORF54-1-1	chr1	+	150244687	150253335	C1orf54	79630
ITGA6-2-1	chr2	+	173291954	173371181	ITGA6	3655
FAM161A-2-1	chr2	-	62051983	62081278	FAM161A	84140
PABPC4L-4-1	chr4	-	135117488	135122903	PABPC4L	132430
